ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-12,12,0,200,10,80,20,800,400,20,12,30
770,200,-12,12,0,200,10,80,20,800,400,20,12,30
758,212,-12,12,0,200,10,80,20,800,400,20,12,30
746,224,-12,12,0,200,10,80,20,800,400,20,12,30
734,236,-12,12,0,200,10,80,20,800,400,20,12,30
722,248,-12,12,0,200,10,80,20,800,400,20,12,30
710,260,-12,12,0,200,10,80,20,800,400,20,12,30
698,272,-12,12,0,200,10,80,20,800,400,20,12,30
686,284,-12,12,0,200,10,80,20,800,400,20,12,30
674,296,-12,12,0,200,10,80,20,800,400,20,12,30
662,308,-12,12,0,200,10,80,20,800,400,20,12,30
650,320,-12,12,0,200,10,80,20,800,400,20,12,30
638,332,-12,12,0,200,10,80,20,800,400,20,12,30
626,344,-12,12,0,200,10,80,20,800,400,20,12,30
614,356,-12,12,0,200,10,80,20,800,400,20,12,30
602,368,-12,12,0,200,10,80,20,800,400,20,12,30
590,356,-12,-12,0,200,10,80,20,800,400,20,12,30
578,344,-12,-12,0,200,10,80,20,800,400,20,12,30
566,332,-12,-12,0,200,10,80,20,800,400,20,12,30
554,320,-12,-12,0,200,10,80,20,800,400,20,12,30
542,308,-12,-12,0,200,10,80,20,800,400,20,12,30
530,296,-12,-12,0,200,10,80,20,800,400,20,12,30
518,284,-12,-12,0,200,10,80,20,800,400,20,12,30
506,272,-12,-12,0,200,10,80,20,800,400,20,12,30
494,260,-12,-12,0,200,10,80,20,800,400,20,12,30
482,248,-12,-12,0,200,10,80,20,800,400,20,12,30
470,236,-12,-12,0,200,10,80,20,800,400,20,12,30
458,224,-12,-12,0,200,10,80,20,800,400,20,12,30
446,212,-12,-12,0,200,10,80,20,800,400,20,12,30
434,200,-12,-12,0,200,10,80,20,800,400,20,12,30
422,188,-12,-12,0,200,10,80,20,800,400,20,12,30
410,176,-12,-12,0,200,10,80,20,800,400,20,12,30
398,164,-12,-12,0,200,10,80,20,800,400,20,12,30
386,152,-12,-12,0,200,10,80,20,800,400,20,12,30
374,140,-12,-12,0,200,10,80,20,800,400,20,12,30
362,128,-12,-12,0,200,10,80,20,800,400,20,12,30
350,116,-12,-12,0,200,10,80,20,800,400,20,12,30
338,104,-12,-12,0,200,10,80,20,800,400,20,12,30
326,92,-12,-12,0,200,10,80,20,800,400,20,12,30
314,80,-12,-12,0,200,10,80,20,800,400,20,12,30
302,68,-12,-12,0,200,10,80,20,800,400,20,12,30
290,56,-12,-12,0,200,10,80,20,800,400,20,12,30
278,44,-12,-12,0,200,10,80,20,800,400,20,12,30
266,32,-12,-12,0,200,10,80,20,800,400,20,12,30
254,44,-12,12,0,200,10,80,20,800,400,20,12,30
242,56,-12,12,0,200,10,80,20,800,400,20,12,30
230,68,-12,12,0,200,10,80,20,800,400,20,12,30
218,80,-12,12,0,200,10,80,20,800,400,20,12,30
206,92,-12,12,0,200,10,80,20,800,400,20,12,30
194,104,-12,12,0,200,10,80,20,800,400,20,12,30
182,116,-12,12,0,200,10,80,20,800,400,20,12,30
170,128,-12,12,0,200,10,80,20,800,400,20,12,30
